name,algorithm,k,silhouette_score,chi
kotek-16.png,kmeans,6,0.4756598855011577,17949.424766697288
kotek-16.png,kmeans,7,0.4367986158402794,17947.02343225481
kotek-16.png,kmeans,8,0.4177279420134024,17573.430254002138
kotek-16.png,kmeans,9,0.4077166875921912,17095.854059546946
kotek-16.png,kmeans,10,0.3984250302239139,17203.109351388637
kotek-16.png,kmeans,11,0.3742205357226013,16514.004734613427
kotek-16.png,kmeans,12,0.36952195640023805,16590.092973596144
kotek-16.png,kmeans,13,0.36367288652162527,16442.10151595796
kotek-16.png,kmeans,14,0.3524279110160188,16335.117943723326
kotek-16.png,kmeans,15,0.35349817256918936,16280.808835005932
kotek-16.png,kmeans,16,0.3560195445418701,16307.492036817785
kotek-16.png,kmeans,17,0.35440711224351823,16194.854687216328
kotek-16.png,kmeans,18,0.34798952177960846,16188.693328946367
kotek-16.png,kmeans,19,0.34634658158008397,16133.863917752436
kotek-16.png,kmeans,20,0.33784814733175395,16129.995124959058
kotek-16.png,kmedoids,5,0.4109338690075758,17335.66138925634
kotek-16.png,kmedoids,6,0.3989452029390951,17121.99999619667
kotek-16.png,kmedoids,7,0.3670821698019544,16594.782716035916
kotek-16.png,kmedoids,8,0.3493901519713311,16496.176065514217
kotek-16.png,kmedoids,9,0.3607022466710416,16429.571316669022
kotek-16.png,kmedoids,10,0.34687790123804263,16028.65740357269
kotek-16.png,kmedoids,11,0.34371981342660735,15817.894454405581
kotek-16.png,kmedoids,12,0.33690578970603013,15544.581046573378
kotek-16.png,kmedoids,13,0.32553190697614676,15508.285802828086
kotek-16.png,kmedoids,14,0.32583678889656104,15038.220008818787
kotek-16.png,kmedoids,15,0.32574709829925697,15069.674382582201
kotek-16.png,kmedoids,16,0.3196617950532238,14857.280001577205
kotek-16.png,kmedoids,17,0.3173311624835975,14771.017183359694
kotek-16.png,kmedoids,18,0.31880655353972776,14634.98497622628
kotek-16.png,kmedoids,19,0.31622047544192483,14776.510317283104
kotek-16.png,kmedoids,20,0.3132895429645942,14707.318731785077
kotek-17.png,kmeans,5,0.3737043237070432,17692.98600326089
kotek-17.png,kmeans,6,0.3433268243397807,16648.136801569508
kotek-17.png,kmeans,7,0.347380939140579,15821.271463659787
kotek-17.png,kmeans,8,0.3450821833263329,15187.303283401785
kotek-17.png,kmeans,9,0.3325531643552243,14658.107417691284
kotek-17.png,kmeans,10,0.32952511701001636,14174.726307362542
kotek-17.png,kmeans,11,0.32331691770551485,13800.133059323645
kotek-17.png,kmeans,12,0.32522989503551897,13545.269657218425
kotek-17.png,kmeans,13,0.3245819433474945,13248.709782177397
kotek-17.png,kmeans,14,0.32154342388249224,13031.496190890446
kotek-17.png,kmeans,15,0.3236065443348636,12897.792358212575
kotek-17.png,kmeans,16,0.3161334380105917,12652.23902187311
kotek-17.png,kmeans,17,0.3160803022294564,12384.038690088279
kotek-17.png,kmeans,18,0.3116323160013682,12199.817407313769
kotek-17.png,kmeans,19,0.3105560980525868,12049.860426102237
kotek-17.png,kmeans,20,0.30821373003728825,11848.280253558982
kotek-17.png,kmedoids,5,0.36547276275024065,17346.663517265115
kotek-17.png,kmedoids,6,0.33542708233712426,16364.305643746697
kotek-17.png,kmedoids,7,0.3297829146284362,15443.246471102295
kotek-17.png,kmedoids,8,0.3304056671469112,15019.140433402621
kotek-17.png,kmedoids,9,0.32648811679580997,14473.975392190629
kotek-17.png,kmedoids,10,0.31254082013733236,13983.923156725368
kotek-17.png,kmedoids,11,0.31005453079346634,13582.759839407672
kotek-17.png,kmedoids,12,0.30570154255015913,13265.88247133468
kotek-17.png,kmedoids,13,0.3080181549598515,13009.811940720607
kotek-17.png,kmedoids,14,0.3080861184595302,12800.688577733948
kotek-17.png,kmedoids,15,0.3061271015887193,12503.03916484945
kotek-17.png,kmedoids,16,0.30653239861980486,12415.893221623282
kotek-17.png,kmedoids,17,0.30377036561398646,12189.558467563857
kotek-17.png,kmedoids,18,0.30151647542292925,12072.2550117842
kotek-17.png,kmedoids,19,0.29926914900531926,11892.54212414092
kotek-17.png,kmedoids,20,0.2964641015687114,11667.68295573408
